@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,2308.0,0.0,2,4.0,4.0,1.0,0,1,11.0,0,1,0.0,1.0,0
1,3717.0,4.0,2,8.0,5.0,5.0,1,0,0.0,1,1,280.0,1.0,0
1,5483.0,155.0,2,10.0,9.0,0.0,1,1,20.0,0,2,152.0,131.0,0
0,5333.0,165.0,2,1.0,1.0,0.0,0,0,0.0,1,1,62.0,28.0,0
1,1692.0,335.0,1,4.0,4.0,29.0,0,0,0.0,0,1,200.0,1.0,0
0,285.0,1.0,2,11.0,4.0,1.0,1,1,2.0,1,2,167.0,501.0,0
0,695.0,6.0,2,1.0,1.0,0.0,0,0,0.0,0,1,0.0,1.0,0
1,3008.0,104.0,1,3.0,5.0,5.0,1,1,10.0,1,2,132.0,29.0,0
0,3658.0,29.0,2,1.0,1.0,0.0,0,1,10.0,0,2,200.0,19.0,0
1,3525.0,3165.0,2,14.0,8.0,375.0,1,0,0.0,1,2,680.0,1.0,0
1,6917.0,9.0,2,1.0,1.0,4.0,0,1,1.0,0,2,70.0,7.0,0
0,2525.0,135.0,1,1.0,1.0,2.0,0,1,1.0,1,2,200.0,2.0,0
0,225.0,85.0,2,11.0,4.0,175.0,1,1,10.0,0,2,80.0,991.0,0
1,1967.0,10.0,1,4.0,8.0,835.0,1,0,0.0,1,2,140.0,1.0,0
0,3392.0,1585.0,1,1.0,1.0,0.0,1,0,0.0,0,2,320.0,1.0,0
0,225.0,415.0,2,3.0,4.0,335.0,0,0,0.0,1,1,144.0,1.0,0
1,2983.0,204.0,1,14.0,8.0,4.0,0,0,0.0,0,2,128.0,2.0,0
0,49.0,15.0,2,5.0,3.0,0.0,1,0,0.0,1,2,100.0,28.0,0
1,23.0,625.0,1,6.0,4.0,125.0,1,0,0.0,0,2,180.0,2.0,0
0,1917.0,585.0,1,6.0,4.0,585.0,1,0,0.0,1,2,160.0,1.0,0
1,3157.0,5.0,1,6.0,4.0,85.0,1,0,0.0,0,2,0.0,1.0,0
0,2358.0,83.0,2,11.0,4.0,415.0,0,1,1.0,1,2,200.0,12.0,0
1,25.0,12.0,2,4.0,4.0,225.0,1,1,2.0,1,2,120.0,6.0,0
0,2358.0,585.0,1,1.0,1.0,125.0,0,0,0.0,0,2,120.0,88.0,0
1,1883.0,354.0,1,1.0,1.0,0.0,0,0,0.0,1,2,180.0,2.0,0
0,1825.0,10.0,2,9.0,4.0,1.0,0,1,1.0,0,2,120.0,2.0,0
0,2375.0,71.0,2,9.0,4.0,25.0,0,1,1.0,1,2,240.0,5.0,0
1,2108.0,10085.0,1,10.0,8.0,125.0,0,0,0.0,0,2,260.0,1.0,0
0,4225.0,175.0,1,8.0,4.0,0.0,0,0,0.0,1,2,150.0,2.0,0
1,3125.0,1125.0,2,1.0,1.0,0.0,0,1,1.0,0,2,96.0,20.0,0
0,2083.0,5.0,1,10.0,2.0,1.0,0,0,0.0,0,2,260.0,1.0,0
1,1817.0,246.0,2,8.0,7.0,96.0,0,1,2.0,1,2,160.0,588.0,0
0,2175.0,175.0,1,5.0,3.0,0.0,0,0,0.0,0,2,160.0,1.0,0
1,3075.0,1585.0,2,2.0,4.0,585.0,0,0,0.0,1,1,0.0,1.0,0
1,1708.0,25.0,2,11.0,4.0,335.0,0,1,4.0,0,2,160.0,9.0,0
1,1825.0,165.0,2,2.0,4.0,25.0,0,0,0.0,1,1,280.0,1.0,0
