@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0,3157.0,35.0,2,2.0,4.0,3.0,1,0,0.0,1,2,300.0,1.0,0
0,3042.0,1375.0,2,9.0,8.0,4.0,0,1,3.0,0,2,0.0,34.0,0
1,23.0,75.0,2,7.0,4.0,5.0,1,0,0.0,1,1,320.0,1.0,0
1,4325.0,2521.0,2,11.0,8.0,21.0,1,1,1.0,0,2,760.0,91.0,0
0,3192.0,3125.0,2,1.0,1.0,304.0,0,1,2.0,1,2,200.0,5.0,0
1,3108.0,15.0,1,9.0,4.0,4.0,0,0,0.0,0,1,160.0,1.0,0
0,1975.0,75.0,2,8.0,4.0,795.0,1,1,5.0,1,2,140.0,6.0,0
0,3157.0,1125.0,2,1.0,1.0,0.0,0,0,0.0,0,2,184.0,5201.0,0
1,2358.0,46.0,1,9.0,4.0,2625.0,1,1,6.0,1,2,208.0,348.0,0
0,3517.0,375.0,2,1.0,1.0,0.0,0,1,6.0,0,2,0.0,201.0,0
0,3858.0,5.0,2,13.0,4.0,135.0,1,0,0.0,1,2,980.0,1.0,0
1,4958.0,19.0,2,1.0,1.0,0.0,1,1,1.0,0,2,94.0,1.0,0
1,2758.0,325.0,1,11.0,8.0,5085.0,0,1,2.0,1,2,369.0,2.0,0
0,2542.0,1125.0,2,11.0,4.0,129.0,1,1,2.0,0,2,200.0,1.0,0
1,3233.0,75.0,2,10.0,5.0,1585.0,1,0,0.0,1,1,420.0,1.0,0
0,25.0,11.0,1,6.0,4.0,45.0,1,0,0.0,0,2,120.0,1.0,0
