@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,3717.0,4.0,2,8.0,5.0,5.0,1,0,0.0,1,1,280.0,1.0,0
1,1917.0,4.0,1,3.0,4.0,1.0,0,0,0.0,1,2,360.0,1001.0,0
1,2408.0,875.0,2,7.0,4.0,85.0,0,1,4.0,0,2,254.0,1951.0,0
1,2067.0,415.0,2,8.0,4.0,125.0,0,0,0.0,0,2,0.0,45.0,0
1,3617.0,55.0,2,3.0,5.0,5.0,0,0,0.0,0,2,210.0,688.0,0
0,2267.0,79.0,2,3.0,4.0,85.0,0,0,0.0,0,2,144.0,1.0,0
0,1917.0,5415.0,2,3.0,8.0,29.0,0,0,0.0,0,2,80.0,485.0,0
0,3517.0,375.0,2,1.0,1.0,0.0,0,1,6.0,0,2,0.0,201.0,0
1,19.0,175.0,1,8.0,4.0,2335.0,0,0,0.0,1,2,112.0,7.0,0
1,215.0,975.0,2,8.0,4.0,25.0,1,0,0.0,0,2,140.0,1.0,0
1,2042.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,0
1,395.0,1625.0,2,8.0,4.0,15.0,0,0,0.0,0,2,0.0,317.0,0
0,3892.0,1665.0,2,6.0,4.0,25.0,0,0,0.0,0,2,0.0,391.0,0
1,6333.0,54.0,2,8.0,4.0,585.0,1,1,3.0,1,2,180.0,1.0,0
1,22.0,7835.0,1,3.0,5.0,165.0,0,0,0.0,1,2,184.0,1.0,0
1,3183.0,25.0,2,6.0,4.0,75.0,1,0,0.0,1,2,523.0,1.0,0
0,2533.0,2085.0,2,8.0,8.0,275.0,1,0,0.0,1,2,360.0,2.0,0
0,695.0,6.0,2,1.0,1.0,0.0,0,0,0.0,0,1,0.0,1.0,0
1,3575.0,2415.0,2,9.0,4.0,125.0,0,1,2.0,0,2,220.0,2.0,0
1,3233.0,25.0,2,8.0,4.0,125.0,0,0,0.0,1,2,280.0,1.0,0
1,1858.0,571.0,2,2.0,4.0,54.0,0,0,0.0,0,2,120.0,1.0,0
0,3025.0,55.0,2,4.0,4.0,55.0,0,0,0.0,1,1,100.0,1.0,0
1,3017.0,1085.0,1,8.0,4.0,4.0,0,0,0.0,0,2,170.0,180.0,0
1,1633.0,275.0,2,6.0,4.0,665.0,0,1,1.0,0,2,80.0,22.0,0
1,2192.0,5.0,2,8.0,4.0,125.0,0,0,0.0,0,2,360.0,1.0,0
1,2858.0,3625.0,2,6.0,4.0,25.0,0,0,0.0,1,2,100.0,1.0,0
1,1867.0,5.0,2,11.0,4.0,375.0,1,1,2.0,0,2,0.0,39.0,0
1,2225.0,46.0,2,4.0,4.0,125.0,0,0,0.0,1,2,280.0,56.0,0
1,3225.0,14.0,1,1.0,1.0,0.0,0,1,2.0,0,2,160.0,2.0,0
0,2008.0,125.0,2,8.0,4.0,0.0,0,0,0.0,0,2,0.0,1.0,0
1,2008.0,25.0,2,11.0,4.0,125.0,0,0,0.0,0,2,200.0,1.0,0
1,2633.0,13.0,2,10.0,2.0,0.0,0,0,0.0,1,2,140.0,1111.0,0
0,2958.0,175.0,1,4.0,4.0,125.0,0,0,0.0,1,2,280.0,1.0,0
1,2358.0,46.0,1,9.0,4.0,2625.0,1,1,6.0,1,2,208.0,348.0,0
1,1942.0,15.0,1,13.0,4.0,2.0,1,0,0.0,1,2,100.0,21.0,0
1,2767.0,75.0,2,11.0,8.0,165.0,0,0,0.0,1,2,220.0,252.0,0
0,2617.0,2.0,2,5.0,3.0,0.0,0,0,0.0,1,2,276.0,2.0,0
1,3483.0,4.0,2,2.0,5.0,125.0,1,0,0.0,1,2,184.0,1.0,0
1,4275.0,4085.0,2,6.0,4.0,4.0,0,0,0.0,0,2,108.0,101.0,0
1,2067.0,835.0,1,8.0,4.0,2.0,0,0,0.0,1,1,240.0,1.0,0
1,1825.0,165.0,2,2.0,4.0,25.0,0,0,0.0,1,1,280.0,1.0,0
1,1833.0,121.0,1,10.0,2.0,0.0,0,0,0.0,0,2,100.0,1.0,0
0,1792.0,54.0,2,8.0,4.0,175.0,0,1,1.0,1,2,80.0,6.0,0
1,2958.0,475.0,2,7.0,4.0,2.0,0,1,1.0,1,2,460.0,69.0,0
1,2683.0,54.0,2,4.0,1.0,0.0,0,0,0.0,0,2,100.0,1.0,0
0,2225.0,125.0,1,1.0,1.0,325.0,0,0,0.0,0,2,280.0,1.0,0
0,1817.0,10.0,1,11.0,8.0,165.0,0,0,0.0,0,2,340.0,1.0,0
1,2867.0,145.0,2,2.0,4.0,125.0,0,0,0.0,0,2,0.0,287.0,0
1,2458.0,135.0,1,1.0,1.0,0.0,0,0,0.0,0,2,184.0,1.0,0
1,1933.0,10915.0,2,8.0,5.0,585.0,0,1,2.0,1,2,200.0,8.0,0
1,3475.0,25.0,2,13.0,5.0,5.0,0,0,0.0,0,2,348.0,1.0,0
1,1625.0,0.0,1,6.0,4.0,25.0,0,0,0.0,0,2,60.0,1.0,0
0,2483.0,45.0,2,9.0,4.0,1.0,0,0,0.0,1,2,360.0,7.0,0
1,2558.0,335.0,2,4.0,8.0,35.0,0,0,0.0,1,2,340.0,1.0,0
0,16.0,165.0,2,6.0,4.0,1.0,0,1,2.0,1,2,320.0,2.0,0
1,3125.0,2835.0,2,1.0,1.0,0.0,0,1,5.0,0,2,176.0,147.0,0
1,3642.0,75.0,1,2.0,4.0,585.0,0,0,0.0,0,2,240.0,4.0,0
0,5683.0,425.0,1,1.0,1.0,5.0,0,0,0.0,1,2,0.0,5.0,0
1,2117.0,25.0,1,8.0,8.0,25.0,0,0,0.0,0,2,280.0,205.0,0
0,2733.0,1665.0,2,1.0,1.0,0.0,0,0,0.0,0,2,340.0,2.0,0
0,195.0,165.0,2,11.0,4.0,4.0,0,0,0.0,1,2,380.0,1.0,0
0,3375.0,75.0,2,4.0,5.0,1.0,1,1,3.0,1,2,212.0,1.0,0
1,3525.0,165.0,1,8.0,4.0,4.0,1,0,0.0,0,2,80.0,1.0,0
0,2042.0,105.0,1,14.0,8.0,0.0,0,0,0.0,1,2,154.0,33.0,0
1,4317.0,5.0,2,3.0,5.0,225.0,0,0,0.0,1,2,141.0,1.0,0
1,2875.0,1165.0,2,4.0,4.0,5.0,1,0,0.0,0,1,280.0,1.0,0
1,2375.0,12.0,2,8.0,4.0,2085.0,0,0,0.0,0,1,80.0,1.0,0
1,5242.0,15.0,2,2.0,4.0,375.0,0,0,0.0,1,2,0.0,351.0,0
1,2692.0,225.0,2,3.0,5.0,5.0,0,0,0.0,1,2,640.0,4001.0,0
1,3942.0,171.0,1,7.0,4.0,165.0,0,0,0.0,0,1,400.0,1.0,0
