@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
b,1842.0,10415.0,y,p,aa,v,125.0,t,f,0.0,f,g,120.0,375.0,negative
b,2158.0,79.0,y,p,cc,v,665.0,f,f,0.0,f,g,160.0,0.0,negative
b,2983.0,204.0,y,p,x,h,4.0,f,f,0.0,f,g,128.0,1.0,negative
a,2225.0,125.0,y,p,ff,ff,325.0,f,f,0.0,f,g,280.0,0.0,negative
b,5183.0,3.0,y,p,ff,ff,15.0,f,f,0.0,f,g,180.0,4.0,negative
a,2525.0,135.0,y,p,ff,ff,2.0,f,t,1.0,t,g,200.0,1.0,negative
b,3958.0,5.0,u,g,ff,ff,0.0,f,t,2.0,f,g,17.0,1.0,negative
a,2717.0,125.0,u,g,ff,ff,0.0,f,t,1.0,f,g,92.0,300.0,negative
a,3675.0,471.0,u,g,ff,ff,0.0,f,f,0.0,f,g,160.0,0.0,negative
b,3608.0,254.0,u,g,ff,ff,0.0,f,f,0.0,f,g,0.0,1000.0,negative
a,2492.0,125.0,u,g,ff,ff,0.0,t,f,0.0,f,g,80.0,0.0,negative
a,3892.0,1665.0,u,g,aa,v,25.0,f,f,0.0,f,g,0.0,390.0,negative
a,2292.0,125.0,u,g,q,v,25.0,f,f,0.0,t,g,120.0,809.0,negative
a,2375.0,71.0,u,g,w,v,25.0,f,t,1.0,t,g,240.0,4.0,negative
a,2858.0,375.0,u,g,c,v,25.0,f,t,1.0,t,g,40.0,154.0,negative
a,16.0,165.0,u,g,aa,v,1.0,f,t,2.0,t,g,320.0,1.0,negative
b,2592.0,875.0,u,g,k,v,375.0,f,t,2.0,t,g,174.0,3.0,negative
b,22.0,79.0,u,g,w,v,29.0,f,t,1.0,f,g,420.0,283.0,negative
b,2225.0,9.0,u,g,aa,v,85.0,f,f,0.0,f,g,0.0,0.0,negative
b,395.0,1625.0,u,g,c,v,15.0,f,f,0.0,f,g,0.0,316.0,negative
b,2892.0,375.0,u,g,c,v,29.0,f,f,0.0,f,g,220.0,140.0,negative
a,3908.0,4.0,u,g,c,v,3.0,f,f,0.0,f,g,480.0,0.0,negative
a,1575.0,375.0,u,g,c,v,1.0,f,f,0.0,f,g,120.0,18.0,negative
b,2867.0,145.0,u,g,d,v,125.0,f,f,0.0,f,g,0.0,286.0,negative
b,4733.0,65.0,u,g,c,v,1.0,f,f,0.0,t,g,0.0,228.0,negative
b,35.0,3375.0,u,g,c,h,829.0,f,f,0.0,t,g,0.0,0.0,negative
b,2225.0,46.0,u,g,k,v,125.0,f,f,0.0,t,g,280.0,55.0,negative
b,2208.0,1146.0,u,g,k,v,1585.0,f,f,0.0,t,g,100.0,1212.0,negative
b,4317.0,5.0,u,g,i,bb,225.0,f,f,0.0,t,g,141.0,0.0,negative
b,3375.0,275.0,u,g,i,bb,0.0,f,f,0.0,f,g,180.0,0.0,negative
b,4158.0,175.0,u,g,k,v,21.0,t,f,0.0,f,g,160.0,0.0,negative
b,2925.0,13.0,u,g,d,h,5.0,f,f,0.0,f,g,228.0,0.0,negative
a,45.0,4585.0,u,g,k,h,1.0,f,f,0.0,t,s,240.0,0.0,negative
b,3467.0,108.0,u,g,m,v,1165.0,f,f,0.0,f,s,28.0,0.0,negative
b,2342.0,1.0,u,g,c,v,5.0,f,f,0.0,t,s,280.0,0.0,negative
b,2475.0,54.0,u,g,m,v,1.0,f,f,0.0,t,g,120.0,1.0,negative
b,195.0,29.0,u,g,k,v,29.0,f,f,0.0,f,g,280.0,364.0,negative
b,2217.0,225.0,u,g,i,v,125.0,f,f,0.0,f,g,160.0,10.0,negative
b,3367.0,125.0,u,g,w,v,1165.0,f,f,0.0,f,g,120.0,0.0,negative
a,2075.0,954.0,u,g,i,v,4.0,f,f,0.0,f,g,200.0,1000.0,negative
a,2858.0,354.0,u,g,i,bb,5.0,t,f,0.0,t,g,171.0,0.0,negative
b,2725.0,625.0,u,g,aa,v,455.0,t,f,0.0,t,g,200.0,0.0,negative
b,4517.0,15.0,u,g,c,v,25.0,t,f,0.0,t,g,140.0,0.0,negative
b,1817.0,246.0,u,g,c,n,96.0,f,t,2.0,t,g,160.0,587.0,negative
b,2442.0,2.0,u,g,e,dd,165.0,f,t,2.0,f,g,320.0,1300.0,negative
b,2067.0,529.0,u,g,q,v,375.0,t,t,1.0,f,g,160.0,0.0,negative
b,2917.0,35.0,u,g,w,v,35.0,t,t,3.0,t,g,329.0,0.0,negative
b,4325.0,2521.0,u,g,q,h,21.0,t,t,1.0,f,g,760.0,90.0,negative
a,1592.0,2875.0,u,g,q,v,85.0,f,f,0.0,f,g,120.0,0.0,negative
b,1625.0,835.0,u,g,m,v,85.0,t,f,0.0,f,s,200.0,0.0,negative
b,3358.0,25.0,u,g,i,bb,4.0,f,f,0.0,t,s,420.0,0.0,negative
b,2983.0,125.0,y,p,k,v,25.0,f,f,0.0,f,g,224.0,0.0,negative
b,2075.0,5085.0,y,p,j,v,29.0,f,f,0.0,f,g,140.0,184.0,negative
b,4483.0,7.0,y,p,c,v,1625.0,f,f,0.0,f,g,160.0,2.0,negative
b,3942.0,171.0,y,p,m,v,165.0,f,f,0.0,f,s,400.0,0.0,negative
b,2258.0,15.0,y,p,aa,v,54.0,f,f,0.0,t,g,120.0,67.0,negative
b,2567.0,29.0,y,p,c,v,15.0,f,f,0.0,t,g,160.0,0.0,negative
b,2875.0,15.0,y,p,c,v,15.0,t,f,0.0,t,g,0.0,225.0,negative
b,28.0,3.0,u,g,w,v,75.0,f,f,0.0,t,g,300.0,67.0,negative
b,2308.0,0.0,u,g,k,v,1.0,f,t,11.0,f,s,0.0,0.0,negative
a,2533.0,2085.0,u,g,c,h,275.0,t,f,0.0,t,g,360.0,1.0,negative
b,2742.0,125.0,u,g,aa,bb,25.0,f,f,0.0,t,g,720.0,0.0,negative
a,2192.0,11665.0,u,g,k,h,85.0,f,f,0.0,f,g,320.0,5.0,negative
b,2617.0,125.0,y,p,k,h,125.0,f,f,0.0,t,g,0.0,17.0,negative
b,2783.0,4.0,y,p,i,h,575.0,t,t,2.0,t,g,75.0,0.0,negative
b,2375.0,415.0,y,p,c,v,4.0,f,t,2.0,f,g,128.0,6.0,negative
a,3325.0,3.0,y,p,aa,v,2.0,f,f,0.0,f,g,180.0,0.0,negative
a,3325.0,25.0,y,p,c,v,25.0,f,f,0.0,t,g,0.0,2.0,negative
b,625.0,1275.0,y,p,c,h,5.0,t,f,0.0,f,g,112.0,0.0,negative
a,1767.0,0.0,y,p,j,ff,0.0,f,f,0.0,f,g,86.0,0.0,negative
b,235.0,3165.0,y,p,k,v,415.0,f,t,1.0,t,g,280.0,80.0,negative
b,39.0,5.0,u,g,cc,v,35.0,t,t,10.0,t,g,0.0,0.0,positive
b,2783.0,154.0,u,g,w,v,375.0,t,t,5.0,t,g,100.0,3.0,positive
b,2275.0,11.0,u,g,q,v,25.0,t,t,7.0,t,g,100.0,809.0,positive
b,3917.0,171.0,u,g,x,v,125.0,t,t,5.0,t,g,480.0,0.0,positive
b,44.0,2.0,u,g,m,v,175.0,t,t,2.0,t,g,0.0,15.0,positive
b,3492.0,25.0,u,g,w,v,0.0,t,f,0.0,t,g,239.0,200.0,positive
b,4858.0,65.0,u,g,q,h,6.0,t,f,0.0,t,g,350.0,0.0,positive
b,2675.0,1125.0,u,g,x,h,125.0,t,f,0.0,f,g,0.0,5298.0,positive
b,4817.0,7625.0,u,g,w,h,155.0,t,t,12.0,f,g,0.0,790.0,positive
b,3858.0,3335.0,u,g,w,v,4.0,t,t,14.0,f,g,383.0,1344.0,positive
b,2183.0,11.0,u,g,x,v,29.0,t,t,6.0,f,g,121.0,0.0,positive
b,2283.0,3.0,u,g,m,v,129.0,t,t,1.0,f,g,260.0,800.0,positive
b,3133.0,195.0,u,g,c,v,7.0,t,t,16.0,f,g,0.0,5000.0,positive
b,2042.0,7.0,u,g,c,v,1625.0,t,t,3.0,f,g,200.0,1391.0,positive
b,2533.0,58.0,u,g,c,v,29.0,t,t,7.0,t,g,96.0,5124.0,positive
b,2325.0,4.0,u,g,c,bb,25.0,t,f,0.0,t,g,160.0,0.0,positive
a,2867.0,104.0,u,g,c,v,25.0,t,t,5.0,t,g,300.0,1430.0,positive
a,4583.0,105.0,u,g,q,v,5.0,t,t,7.0,t,g,0.0,0.0,positive
a,1842.0,925.0,u,g,q,v,121.0,t,t,4.0,f,g,60.0,540.0,positive
a,2325.0,5875.0,u,g,q,v,317.0,t,t,10.0,f,g,120.0,245.0,positive
a,3067.0,12.0,u,g,c,v,2.0,t,t,1.0,f,g,220.0,19.0,positive
a,6092.0,5.0,u,g,aa,v,4.0,t,t,4.0,f,g,0.0,99.0,positive
a,295.0,46.0,u,g,k,v,54.0,t,t,4.0,f,g,380.0,500.0,positive
b,2867.0,9335.0,u,g,q,h,5665.0,t,t,6.0,f,g,381.0,168.0,positive
b,4192.0,42.0,u,g,c,h,21.0,t,t,6.0,f,g,220.0,948.0,positive
b,4025.0,215.0,u,g,e,z,20.0,t,t,11.0,f,g,0.0,1200.0,positive
b,3492.0,5.0,u,g,x,h,75.0,t,t,6.0,t,g,0.0,1000.0,positive
a,245.0,5.0,u,g,q,h,15.0,t,f,0.0,f,g,280.0,824.0,positive
a,1967.0,21.0,u,g,q,h,29.0,t,t,11.0,f,g,80.0,99.0,positive
a,2283.0,229.0,u,g,q,h,229.0,t,t,7.0,t,g,140.0,2384.0,positive
a,25.0,1233.0,u,g,cc,h,35.0,t,t,6.0,f,g,400.0,458.0,positive
a,2242.0,1125.0,y,p,x,h,75.0,t,t,4.0,f,g,0.0,321.0,positive
a,1892.0,925.0,y,p,c,v,1.0,t,t,4.0,t,g,80.0,500.0,positive
b,3992.0,54.0,y,p,aa,v,5.0,t,t,3.0,f,g,200.0,1000.0,positive
b,1375.0,4.0,y,p,w,v,175.0,t,t,2.0,t,g,120.0,1000.0,positive
b,3225.0,165.0,y,p,c,h,325.0,t,t,1.0,t,g,432.0,8000.0,positive
b,495.0,7585.0,u,g,i,bb,7585.0,t,t,15.0,t,g,0.0,5000.0,positive
a,4742.0,8.0,u,g,e,bb,65.0,t,t,6.0,f,g,375.0,51100.0,positive
a,6517.0,14.0,u,g,ff,ff,0.0,t,t,11.0,t,g,0.0,1400.0,positive
b,27.0,75.0,u,g,c,h,425.0,t,t,3.0,t,g,312.0,150.0,positive
b,3267.0,55.0,u,g,q,h,55.0,t,t,12.0,t,g,408.0,1000.0,positive
b,5658.0,185.0,u,g,d,bb,15.0,t,t,17.0,t,g,0.0,0.0,positive
b,2133.0,75.0,u,g,aa,v,1415.0,t,t,1.0,f,g,80.0,9800.0,positive
b,2317.0,0.0,u,g,cc,v,85.0,t,f,0.0,f,g,0.0,0.0,positive
b,1617.0,4.0,u,g,c,v,4.0,f,f,0.0,f,g,0.0,0.0,positive
a,1758.0,9.0,u,g,aa,v,1375.0,t,f,0.0,t,g,0.0,0.0,positive
a,3233.0,54.0,u,g,cc,v,4.0,t,f,0.0,f,g,440.0,11177.0,positive
