@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
a,3375.0,75.0,u,g,k,bb,1.0,t,t,3.0,t,g,212.0,0.0,negative
b,1842.0,10415.0,y,p,aa,v,125.0,t,f,0.0,f,g,120.0,375.0,negative
a,5708.0,335.0,u,g,i,bb,1.0,t,f,0.0,t,g,252.0,2197.0,negative
b,4875.0,26335.0,y,p,ff,ff,0.0,t,f,0.0,t,g,0.0,0.0,negative
b,2325.0,12625.0,u,g,c,v,125.0,f,t,2.0,f,g,0.0,5552.0,negative
b,2758.0,325.0,y,p,q,h,5085.0,f,t,2.0,t,g,369.0,1.0,negative
a,695.0,6.0,u,g,ff,ff,0.0,f,f,0.0,f,s,0.0,0.0,negative
b,1967.0,10.0,y,p,k,h,835.0,t,f,0.0,t,g,140.0,0.0,negative
a,225.0,85.0,u,g,q,v,175.0,t,t,10.0,f,g,80.0,990.0,negative
a,2358.0,115.0,y,p,k,h,3.0,f,f,0.0,t,g,20.0,16.0,negative
b,6917.0,9.0,u,g,ff,ff,4.0,f,t,1.0,f,g,70.0,6.0,negative
a,25.0,11.0,y,p,aa,v,45.0,t,f,0.0,f,g,120.0,0.0,negative
b,23.0,75.0,u,g,m,v,5.0,t,f,0.0,t,s,320.0,0.0,negative
b,625.0,1275.0,y,p,c,h,5.0,t,f,0.0,f,g,112.0,0.0,negative
a,1975.0,75.0,u,g,c,v,795.0,t,t,5.0,t,g,140.0,5.0,negative
a,245.0,2415.0,y,p,c,v,0.0,f,f,0.0,f,g,120.0,0.0,negative
b,1933.0,10915.0,u,g,c,bb,585.0,f,t,2.0,t,g,200.0,7.0,negative
b,3483.0,25.0,y,p,w,v,3.0,f,f,0.0,f,s,200.0,0.0,negative
a,1692.0,5.0,u,g,i,v,165.0,f,t,6.0,t,g,240.0,35.0,negative
b,2067.0,125.0,y,p,c,h,1375.0,t,t,3.0,t,g,140.0,210.0,negative
a,1608.0,335.0,u,g,ff,ff,0.0,f,t,1.0,f,g,160.0,126.0,negative
b,235.0,3165.0,y,p,k,v,415.0,f,t,1.0,t,g,280.0,80.0,negative
a,4817.0,1335.0,u,g,i,o,335.0,f,f,0.0,f,g,0.0,120.0,negative
a,3483.0,125.0,y,p,i,h,5.0,f,f,0.0,t,g,160.0,0.0,negative
b,2917.0,35.0,u,g,w,v,35.0,t,t,3.0,t,g,329.0,0.0,negative
a,2175.0,175.0,y,p,j,j,0.0,f,f,0.0,f,g,160.0,0.0,negative
b,34.0,45.0,u,g,aa,v,1.0,t,f,0.0,t,g,240.0,0.0,negative
b,3825.0,10125.0,y,p,k,v,125.0,f,f,0.0,f,g,160.0,0.0,negative
a,3025.0,55.0,u,g,k,v,55.0,f,f,0.0,t,s,100.0,0.0,negative
b,2817.0,125.0,y,p,k,v,85.0,f,f,0.0,f,g,216.0,2100.0,negative
a,2267.0,75.0,u,g,c,v,2.0,f,t,2.0,t,g,200.0,394.0,negative
b,2375.0,415.0,y,p,c,v,4.0,f,t,2.0,f,g,128.0,6.0,negative
b,3033.0,5.0,u,g,d,h,85.0,f,f,0.0,t,s,252.0,0.0,negative
b,3183.0,4.0,y,p,m,v,4.0,f,f,0.0,f,g,0.0,0.0,negative
a,235.0,15.0,u,g,w,v,875.0,f,f,0.0,t,g,160.0,0.0,negative
b,1625.0,0.0,y,p,aa,v,25.0,f,f,0.0,f,g,60.0,0.0,negative
b,1883.0,354.0,y,p,ff,ff,0.0,f,f,0.0,t,g,180.0,1.0,negative
a,2192.0,11665.0,u,g,k,h,85.0,f,f,0.0,f,g,320.0,5.0,negative
b,2567.0,29.0,y,p,c,v,15.0,f,f,0.0,t,g,160.0,0.0,negative
b,1958.0,585.0,u,g,ff,ff,0.0,f,t,3.0,f,g,350.0,769.0,negative
a,195.0,165.0,u,g,q,v,4.0,f,f,0.0,t,g,380.0,0.0,negative
b,1808.0,675.0,y,p,m,v,4.0,f,f,0.0,f,g,140.0,0.0,negative
b,35.0,3375.0,u,g,c,h,829.0,f,f,0.0,t,g,0.0,0.0,negative
b,16.0,3125.0,u,g,w,v,85.0,f,t,1.0,f,g,0.0,6.0,negative
a,3675.0,471.0,u,g,ff,ff,0.0,f,f,0.0,f,g,160.0,0.0,negative
b,3075.0,1585.0,u,g,d,v,585.0,f,f,0.0,t,s,0.0,0.0,negative
b,2342.0,585.0,u,g,c,h,85.0,t,f,0.0,f,g,180.0,0.0,negative
a,3308.0,1625.0,u,g,d,v,54.0,f,f,0.0,t,g,0.0,0.0,negative
b,215.0,975.0,u,g,c,v,25.0,t,f,0.0,f,g,140.0,0.0,negative
a,2292.0,125.0,u,g,q,v,25.0,f,f,0.0,t,g,120.0,809.0,negative
b,3608.0,254.0,u,g,ff,ff,0.0,f,f,0.0,f,g,0.0,1000.0,negative
b,2633.0,13.0,u,g,e,dd,0.0,f,f,0.0,t,g,140.0,1110.0,negative
b,4158.0,175.0,u,g,k,v,21.0,t,f,0.0,f,g,160.0,0.0,negative
a,2767.0,204.0,u,g,w,v,25.0,f,f,0.0,t,g,180.0,50.0,negative
b,3617.0,55.0,u,g,i,bb,5.0,f,f,0.0,f,g,210.0,687.0,negative
b,5858.0,271.0,u,g,c,v,2415.0,f,f,0.0,t,g,320.0,0.0,negative
a,1633.0,21.0,u,g,aa,v,125.0,f,f,0.0,f,g,200.0,1.0,negative
b,3667.0,2.0,u,g,i,v,25.0,f,f,0.0,t,g,221.0,0.0,negative
b,3367.0,2165.0,u,g,c,v,15.0,f,f,0.0,f,p,120.0,0.0,negative
