@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
b,3108.0,15.0,y,p,w,v,4.0,f,f,0.0,f,s,160.0,0.0,negative
a,2725.0,29.0,u,g,m,h,125.0,f,t,1.0,t,g,272.0,108.0,negative
b,19.0,0.0,y,p,ff,ff,0.0,f,t,4.0,f,g,45.0,1.0,negative
b,2308.0,0.0,u,g,k,v,1.0,f,t,11.0,f,s,0.0,0.0,negative
b,4092.0,225.0,y,p,x,h,10.0,t,f,0.0,t,g,176.0,0.0,negative
b,4425.0,5.0,u,g,m,v,1075.0,t,f,0.0,f,s,400.0,0.0,negative
b,3008.0,104.0,y,p,i,bb,5.0,t,t,10.0,t,g,132.0,28.0,negative
a,5758.0,2.0,u,g,ff,ff,65.0,f,t,1.0,f,g,0.0,10.0,negative
b,2067.0,835.0,y,p,c,v,2.0,f,f,0.0,t,s,240.0,0.0,negative
b,4958.0,19.0,u,g,ff,ff,0.0,t,t,1.0,f,g,94.0,0.0,negative
a,3325.0,25.0,y,p,c,v,25.0,f,f,0.0,t,g,0.0,2.0,negative
b,3125.0,2835.0,u,g,ff,ff,0.0,f,t,5.0,f,g,176.0,146.0,negative
a,5217.0,0.0,y,p,ff,ff,0.0,f,f,0.0,f,g,0.0,0.0,negative
b,4058.0,329.0,u,g,m,v,35.0,f,f,0.0,t,s,400.0,0.0,negative
b,5183.0,204.0,y,p,ff,ff,15.0,f,f,0.0,f,g,120.0,1.0,negative
b,3775.0,7.0,u,g,q,h,115.0,t,t,7.0,t,g,300.0,5.0,negative
a,295.0,1085.0,y,p,x,v,1.0,f,f,0.0,f,g,280.0,13.0,negative
a,1583.0,7625.0,u,g,q,v,125.0,f,t,1.0,t,g,0.0,160.0,negative
b,1833.0,121.0,y,p,e,dd,0.0,f,f,0.0,f,g,100.0,0.0,negative
a,225.0,415.0,u,g,i,v,335.0,f,f,0.0,t,s,144.0,0.0,negative
b,3058.0,271.0,y,p,m,v,125.0,f,f,0.0,t,s,80.0,0.0,negative
a,2458.0,67.0,u,g,aa,h,175.0,t,f,0.0,f,g,400.0,0.0,negative
b,19.0,175.0,y,p,c,v,2335.0,f,f,0.0,t,g,112.0,6.0,negative
b,2442.0,2.0,u,g,e,dd,165.0,f,t,2.0,f,g,320.0,1300.0,negative
a,2433.0,25.0,y,p,i,bb,45.0,f,f,0.0,f,g,200.0,456.0,negative
b,23.0,75.0,u,g,m,v,5.0,f,f,0.0,t,s,320.0,0.0,negative
a,2083.0,5.0,y,p,e,dd,1.0,f,f,0.0,f,g,260.0,0.0,negative
b,1817.0,246.0,u,g,c,n,96.0,f,t,2.0,t,g,160.0,587.0,negative
b,2675.0,45.0,y,p,c,bb,25.0,f,f,0.0,f,g,200.0,1210.0,negative
a,2533.0,2085.0,u,g,c,h,275.0,t,f,0.0,t,g,360.0,1.0,negative
b,2983.0,204.0,y,p,x,h,4.0,f,f,0.0,f,g,128.0,1.0,negative
b,3358.0,25.0,u,g,i,bb,4.0,f,f,0.0,t,s,420.0,0.0,negative
b,2292.0,3165.0,y,p,c,v,165.0,f,f,0.0,f,g,160.0,1058.0,negative
b,2567.0,325.0,u,g,c,h,229.0,f,t,1.0,t,g,416.0,21.0,negative
b,2117.0,25.0,y,p,c,h,25.0,f,f,0.0,f,g,280.0,204.0,negative
b,2775.0,129.0,u,g,k,h,25.0,f,f,0.0,t,s,140.0,0.0,negative
b,2067.0,529.0,u,g,q,v,375.0,t,t,1.0,f,g,160.0,0.0,negative
b,4092.0,5.0,y,p,m,v,5.0,f,f,0.0,t,g,130.0,0.0,negative
b,4058.0,15.0,u,g,i,bb,0.0,f,f,0.0,f,s,300.0,0.0,negative
b,3158.0,75.0,y,p,aa,v,35.0,f,f,0.0,t,g,320.0,0.0,negative
b,4092.0,835.0,u,g,ff,ff,0.0,t,f,0.0,f,g,130.0,1.0,negative
b,2692.0,225.0,u,g,i,bb,5.0,f,f,0.0,t,g,640.0,4000.0,negative
b,2983.0,125.0,y,p,k,v,25.0,f,f,0.0,f,g,224.0,0.0,negative
b,2742.0,125.0,u,g,aa,bb,25.0,f,f,0.0,t,g,720.0,0.0,negative
b,2267.0,75.0,u,g,i,v,1585.0,f,t,1.0,t,g,400.0,9.0,negative
