@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
a,245.0,175.0,y,p,c,v,165.0,f,f,0.0,f,g,132.0,0.0,negative
b,1858.0,571.0,u,g,d,v,54.0,f,f,0.0,f,g,120.0,0.0,negative
b,2392.0,585.0,y,p,cc,h,125.0,f,f,0.0,f,g,240.0,1.0,negative
b,4317.0,5.0,u,g,i,bb,225.0,f,f,0.0,t,g,141.0,0.0,negative
b,2358.0,179.0,u,g,c,v,54.0,f,f,0.0,t,g,136.0,1.0,negative
b,225.0,115.0,y,p,m,v,15.0,f,f,0.0,t,g,0.0,4000.0,negative
b,3983.0,5.0,u,g,m,v,25.0,t,f,0.0,f,s,288.0,0.0,negative
b,3375.0,275.0,u,g,i,bb,0.0,f,f,0.0,f,g,180.0,0.0,negative
a,2358.0,585.0,y,p,ff,ff,125.0,f,f,0.0,f,g,120.0,87.0,negative
a,2858.0,354.0,u,g,i,bb,5.0,t,f,0.0,t,g,171.0,0.0,negative
b,3958.0,5.0,u,g,ff,ff,0.0,f,t,2.0,f,g,17.0,1.0,negative
b,3483.0,25.0,y,p,w,v,3.0,f,f,0.0,f,s,200.0,0.0,negative
b,165.0,125.0,u,g,c,v,165.0,f,f,0.0,f,g,132.0,0.0,negative
b,2958.0,475.0,u,g,m,v,2.0,f,t,1.0,t,g,460.0,68.0,negative
a,1592.0,2875.0,u,g,q,v,85.0,f,f,0.0,f,g,120.0,0.0,negative
b,1517.0,7.0,u,g,e,v,1.0,f,f,0.0,f,g,600.0,0.0,negative
b,3233.0,35.0,u,g,k,v,5.0,f,f,0.0,t,g,232.0,0.0,negative
b,4958.0,19.0,u,g,ff,ff,0.0,t,t,1.0,f,g,94.0,0.0,negative
a,1858.0,10.0,u,g,d,v,415.0,f,f,0.0,f,g,80.0,42.0,negative
a,1608.0,335.0,u,g,ff,ff,0.0,f,t,1.0,f,g,160.0,126.0,negative
b,23.0,75.0,u,g,m,v,5.0,f,f,0.0,t,s,320.0,0.0,negative
b,1767.0,446.0,u,g,c,v,25.0,f,f,0.0,f,s,80.0,0.0,negative
b,2408.0,9.0,u,g,aa,v,25.0,f,f,0.0,t,g,0.0,0.0,negative
b,4517.0,15.0,u,g,c,v,25.0,t,f,0.0,t,g,140.0,0.0,negative
b,2892.0,375.0,u,g,c,v,29.0,f,f,0.0,f,g,220.0,140.0,negative
b,3033.0,5.0,u,g,d,h,85.0,f,f,0.0,t,s,252.0,0.0,negative
b,2783.0,4.0,y,p,i,h,575.0,t,t,2.0,t,g,75.0,0.0,negative
b,3158.0,75.0,y,p,aa,v,35.0,f,f,0.0,t,g,320.0,0.0,negative
a,2733.0,1665.0,u,g,ff,ff,0.0,f,f,0.0,f,g,340.0,1.0,negative
b,3017.0,1085.0,y,p,c,v,4.0,f,f,0.0,f,g,170.0,179.0,negative
b,3842.0,705.0,u,g,c,v,375.0,f,t,2.0,f,g,225.0,500.0,negative
b,3408.0,65.0,u,g,aa,v,125.0,t,f,0.0,t,g,443.0,0.0,negative
b,5183.0,204.0,y,p,ff,ff,15.0,f,f,0.0,f,g,120.0,1.0,negative
b,2942.0,125.0,u,g,c,h,25.0,f,t,2.0,t,g,400.0,108.0,negative
b,4783.0,4165.0,u,g,x,bb,85.0,f,f,0.0,t,g,520.0,0.0,negative
