@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
b,1708.0,85.0,y,p,c,v,4.0,f,f,0.0,f,g,140.0,722.0,negative
b,20.0,0.0,u,g,d,v,5.0,f,f,0.0,f,g,144.0,0.0,negative
b,2117.0,25.0,y,p,c,h,25.0,f,f,0.0,f,g,280.0,204.0,negative
b,2692.0,225.0,u,g,i,bb,5.0,f,f,0.0,t,g,640.0,4000.0,negative
b,5858.0,271.0,u,g,c,v,2415.0,f,f,0.0,t,g,320.0,0.0,negative
b,3208.0,4.0,y,p,cc,v,15.0,f,f,0.0,t,g,120.0,0.0,negative
b,4425.0,5.0,u,g,m,v,1075.0,t,f,0.0,f,s,400.0,0.0,negative
b,3992.0,5.0,u,g,i,bb,21.0,f,f,0.0,f,g,550.0,0.0,negative
a,5217.0,0.0,y,p,ff,ff,0.0,f,f,0.0,f,g,0.0,0.0,negative
a,4817.0,1335.0,u,g,i,o,335.0,f,f,0.0,f,g,0.0,120.0,negative
b,1958.0,585.0,u,g,ff,ff,0.0,f,t,3.0,f,g,350.0,769.0,negative
b,3942.0,171.0,y,p,m,v,165.0,f,f,0.0,f,s,400.0,0.0,negative
b,20.0,7.0,u,g,c,v,5.0,f,f,0.0,f,g,0.0,0.0,negative
b,1708.0,329.0,u,g,i,v,335.0,f,f,0.0,t,g,140.0,2.0,negative
a,2267.0,7.0,u,g,c,v,165.0,f,f,0.0,f,g,160.0,0.0,negative
b,5075.0,585.0,u,g,ff,ff,0.0,f,f,0.0,f,g,145.0,0.0,negative
b,2225.0,46.0,u,g,k,v,125.0,f,f,0.0,t,g,280.0,55.0,negative
b,2442.0,2.0,u,g,e,dd,165.0,f,t,2.0,f,g,320.0,1300.0,negative
a,1575.0,375.0,u,g,c,v,1.0,f,f,0.0,f,g,120.0,18.0,negative
a,5758.0,2.0,u,g,ff,ff,65.0,f,t,1.0,f,g,0.0,10.0,negative
b,2342.0,1.0,u,g,c,v,5.0,f,f,0.0,t,s,280.0,0.0,negative
b,2225.0,9.0,u,g,aa,v,85.0,f,f,0.0,f,g,0.0,0.0,negative
b,3242.0,3.0,u,g,d,v,165.0,f,f,0.0,t,g,120.0,0.0,negative
b,2917.0,35.0,u,g,w,v,35.0,t,t,3.0,t,g,329.0,0.0,negative
b,3408.0,25.0,u,g,c,v,1.0,f,f,0.0,f,g,460.0,16.0,negative
b,3358.0,25.0,u,g,i,bb,4.0,f,f,0.0,t,s,420.0,0.0,negative
b,2067.0,125.0,y,p,c,h,1375.0,t,t,3.0,t,g,140.0,210.0,negative
b,2567.0,29.0,y,p,c,v,15.0,f,f,0.0,t,g,160.0,0.0,negative
a,3875.0,15.0,u,g,ff,ff,0.0,f,f,0.0,f,g,76.0,0.0,negative
b,3642.0,75.0,y,p,d,v,585.0,f,f,0.0,f,g,240.0,3.0,negative
b,295.0,58.0,u,g,w,v,29.0,f,t,1.0,f,g,340.0,2803.0,negative
b,34.0,45.0,u,g,aa,v,1.0,t,f,0.0,t,g,240.0,0.0,negative
b,3242.0,2165.0,y,p,k,ff,0.0,f,f,0.0,f,g,120.0,0.0,negative
b,2567.0,325.0,u,g,c,h,229.0,f,t,1.0,t,g,416.0,21.0,negative
a,2533.0,2085.0,u,g,c,h,275.0,t,f,0.0,t,g,360.0,1.0,negative
b,3575.0,2415.0,u,g,w,v,125.0,f,t,2.0,f,g,220.0,1.0,negative
a,3392.0,1585.0,y,p,ff,ff,0.0,t,f,0.0,f,g,320.0,0.0,negative
a,2958.0,175.0,y,p,k,v,125.0,f,f,0.0,t,g,280.0,0.0,negative
a,2075.0,954.0,u,g,i,v,4.0,f,f,0.0,f,g,200.0,1000.0,negative
b,2983.0,125.0,y,p,k,v,25.0,f,f,0.0,f,g,224.0,0.0,negative
b,1967.0,10.0,y,p,k,h,835.0,t,f,0.0,t,g,140.0,0.0,negative
b,1633.0,275.0,u,g,aa,v,665.0,f,t,1.0,f,g,80.0,21.0,negative
a,1733.0,95.0,u,g,aa,v,175.0,f,t,10.0,t,g,0.0,10.0,negative
b,2217.0,225.0,u,g,i,v,125.0,f,f,0.0,f,g,160.0,10.0,negative
b,1883.0,415.0,y,p,c,v,165.0,f,t,1.0,f,g,200.0,1.0,negative
a,2192.0,11665.0,u,g,k,h,85.0,f,f,0.0,f,g,320.0,5.0,negative
b,2275.0,115.0,u,g,i,v,415.0,f,f,0.0,f,g,0.0,0.0,negative
b,2683.0,54.0,u,g,k,ff,0.0,f,f,0.0,f,g,100.0,0.0,negative
b,1917.0,4.0,y,p,i,v,1.0,f,f,0.0,t,g,360.0,1000.0,negative
b,2567.0,221.0,y,p,aa,v,4.0,t,f,0.0,f,g,188.0,0.0,negative
a,2375.0,71.0,u,g,w,v,25.0,f,t,1.0,t,g,240.0,4.0,negative
b,1883.0,0.0,u,g,q,v,665.0,f,f,0.0,f,g,160.0,1.0,negative
a,3858.0,5.0,u,g,cc,v,135.0,t,f,0.0,t,g,980.0,0.0,negative
b,2208.0,1146.0,u,g,k,v,1585.0,f,f,0.0,t,g,100.0,1212.0,negative
b,23.0,75.0,u,g,m,v,5.0,t,f,0.0,t,s,320.0,0.0,negative
a,2008.0,125.0,u,g,c,v,0.0,f,f,0.0,f,g,0.0,0.0,negative
a,1817.0,10.0,y,p,q,h,165.0,f,f,0.0,f,g,340.0,0.0,negative
b,35.0,3375.0,u,g,c,h,829.0,f,f,0.0,t,g,0.0,0.0,negative
b,16.0,3125.0,u,g,w,v,85.0,f,t,1.0,f,g,0.0,6.0,negative
b,5242.0,15.0,u,g,d,v,375.0,f,f,0.0,t,g,0.0,350.0,negative
a,195.0,165.0,u,g,q,v,4.0,f,f,0.0,t,g,380.0,0.0,negative
b,2067.0,529.0,u,g,q,v,375.0,t,t,1.0,f,g,160.0,0.0,negative
a,2433.0,25.0,y,p,i,bb,45.0,f,f,0.0,f,g,200.0,456.0,negative
b,3617.0,18125.0,u,g,w,v,85.0,f,f,0.0,f,g,320.0,3552.0,negative
a,2267.0,75.0,u,g,c,v,2.0,f,t,2.0,t,g,200.0,394.0,negative
b,1825.0,165.0,u,g,d,v,25.0,f,f,0.0,t,s,280.0,0.0,negative
