@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,4808.0,375.0,2,3.0,5.0,1.0,0,0,0.0,0,2,100.0,3.0,0
1,2217.0,225.0,2,3.0,4.0,125.0,0,0,0.0,0,2,160.0,11.0,0
1,2067.0,415.0,2,8.0,4.0,125.0,0,0,0.0,0,2,0.0,45.0,0
1,2892.0,375.0,2,8.0,4.0,29.0,0,0,0.0,0,2,220.0,141.0,0
1,2008.0,25.0,2,11.0,4.0,125.0,0,0,0.0,0,2,200.0,1.0,0
1,365.0,425.0,2,11.0,4.0,35.0,0,0,0.0,0,2,454.0,51.0,0
1,31.0,2085.0,2,8.0,4.0,85.0,0,0,0.0,0,2,300.0,1.0,0
1,1858.0,1029.0,2,1.0,1.0,415.0,0,0,0.0,0,2,80.0,1.0,0
1,4275.0,4085.0,2,6.0,4.0,4.0,0,0,0.0,0,2,108.0,101.0,0
1,2583.0,12835.0,2,13.0,4.0,5.0,0,0,0.0,0,2,0.0,3.0,0
1,2767.0,75.0,2,11.0,8.0,165.0,0,0,0.0,1,2,220.0,252.0,0
1,3275.0,2335.0,2,2.0,8.0,575.0,0,0,0.0,1,2,292.0,1.0,0
1,3233.0,35.0,2,4.0,4.0,5.0,0,0,0.0,1,2,232.0,1.0,0
1,1725.0,3.0,2,4.0,4.0,4.0,0,0,0.0,1,2,160.0,41.0,0
1,2358.0,179.0,2,8.0,4.0,54.0,0,0,0.0,1,2,136.0,2.0,0
1,28.0,3.0,2,9.0,4.0,75.0,0,0,0.0,1,2,300.0,68.0,0
1,5858.0,271.0,2,8.0,4.0,2415.0,0,0,0.0,1,2,320.0,1.0,0
0,4533.0,1.0,2,11.0,4.0,125.0,0,0,0.0,1,2,263.0,1.0,0
0,2175.0,1175.0,2,8.0,4.0,25.0,0,0,0.0,1,2,180.0,1.0,0
0,3308.0,1625.0,2,2.0,4.0,54.0,0,0,0.0,1,2,0.0,1.0,0
0,3892.0,1665.0,2,6.0,4.0,25.0,0,0,0.0,0,2,0.0,391.0,0
0,2083.0,85.0,2,8.0,4.0,165.0,0,0,0.0,0,2,0.0,352.0,0
0,2817.0,585.0,2,6.0,4.0,4.0,0,0,0.0,0,2,260.0,1005.0,0
0,32.0,6.0,2,2.0,4.0,125.0,0,0,0.0,0,2,272.0,1.0,0
0,4817.0,1335.0,2,3.0,7.0,335.0,0,0,0.0,0,2,0.0,121.0,0
0,2475.0,13665.0,2,11.0,8.0,15.0,0,0,0.0,0,2,280.0,2.0,0
0,2175.0,175.0,1,5.0,3.0,0.0,0,0,0.0,0,2,160.0,1.0,0
0,2108.0,5.0,1,1.0,1.0,0.0,0,0,0.0,0,2,0.0,1.0,0
1,2158.0,79.0,1,13.0,4.0,665.0,0,0,0.0,0,2,160.0,1.0,0
