@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
b,2858.0,3625.0,u,g,aa,v,25.0,f,f,0.0,t,g,100.0,0.0,negative
b,2567.0,325.0,u,g,c,h,229.0,f,t,1.0,t,g,416.0,21.0,negative
a,2267.0,335.0,u,g,q,v,75.0,f,f,0.0,f,s,160.0,0.0,negative
a,2475.0,13665.0,u,g,q,h,15.0,f,f,0.0,f,g,280.0,1.0,negative
a,2267.0,7.0,u,g,c,v,165.0,f,f,0.0,f,g,160.0,0.0,negative
b,3125.0,1125.0,u,g,ff,ff,0.0,f,t,1.0,f,g,96.0,19.0,negative
b,1625.0,0.0,y,p,aa,v,25.0,f,f,0.0,f,g,60.0,0.0,negative
a,1858.0,10.0,u,g,d,v,415.0,f,f,0.0,f,g,80.0,42.0,negative
b,4717.0,5835.0,u,g,w,v,55.0,f,f,0.0,f,g,465.0,150.0,negative
b,195.0,9585.0,u,g,aa,v,79.0,f,f,0.0,f,g,80.0,350.0,negative
b,2617.0,835.0,u,g,cc,v,1165.0,f,f,0.0,f,g,100.0,0.0,negative
a,1608.0,335.0,u,g,ff,ff,0.0,f,t,1.0,f,g,160.0,126.0,negative
a,3308.0,1625.0,u,g,d,v,54.0,f,f,0.0,t,g,0.0,0.0,negative
b,375.0,835.0,u,g,e,v,4.0,f,f,0.0,f,g,120.0,5.0,negative
b,35.0,3375.0,u,g,c,h,829.0,f,f,0.0,t,g,0.0,0.0,negative
b,4483.0,7.0,y,p,c,v,1625.0,f,f,0.0,f,g,160.0,2.0,negative
b,2892.0,375.0,u,g,c,v,29.0,f,f,0.0,f,g,220.0,140.0,negative
b,2117.0,25.0,y,p,c,h,25.0,f,f,0.0,f,g,280.0,204.0,negative
b,215.0,975.0,u,g,c,v,25.0,t,f,0.0,f,g,140.0,0.0,negative
a,23.0,1835.0,u,g,j,j,0.0,f,t,1.0,f,g,200.0,53.0,negative
a,4158.0,104.0,u,g,aa,v,665.0,f,f,0.0,f,g,240.0,237.0,negative
b,20.0,11045.0,u,g,c,v,2.0,f,f,0.0,t,g,136.0,0.0,negative
b,2542.0,54.0,u,g,w,v,165.0,f,t,1.0,f,g,272.0,444.0,negative
a,1592.0,2875.0,u,g,q,v,85.0,f,f,0.0,f,g,120.0,0.0,negative
a,3025.0,55.0,u,g,k,v,55.0,f,f,0.0,t,s,100.0,0.0,negative
b,3467.0,108.0,u,g,m,v,1165.0,f,f,0.0,f,s,28.0,0.0,negative
b,2358.0,46.0,y,p,w,v,2625.0,t,t,6.0,t,g,208.0,347.0,negative
b,1742.0,65.0,u,g,i,v,125.0,f,f,0.0,f,g,60.0,100.0,negative
b,2775.0,129.0,u,g,k,h,25.0,f,f,0.0,t,s,140.0,0.0,negative
b,2567.0,221.0,y,p,aa,v,4.0,t,f,0.0,f,g,188.0,0.0,negative
b,4275.0,3.0,u,g,i,bb,1.0,t,f,0.0,f,g,0.0,200.0,negative
b,2008.0,25.0,u,g,q,v,125.0,f,f,0.0,f,g,200.0,0.0,negative
b,295.0,58.0,u,g,w,v,29.0,f,t,1.0,f,g,340.0,2803.0,negative
b,2258.0,15.0,y,p,aa,v,54.0,f,f,0.0,t,g,120.0,67.0,negative
b,34.0,5085.0,y,p,i,bb,1085.0,f,f,0.0,t,g,480.0,0.0,negative
a,3675.0,471.0,u,g,ff,ff,0.0,f,f,0.0,f,g,160.0,0.0,negative
