@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
b,2725.0,625.0,u,g,aa,v,455.0,t,f,0.0,t,g,200.0,0.0,negative
b,2692.0,225.0,u,g,i,bb,5.0,f,f,0.0,t,g,640.0,4000.0,negative
a,2375.0,71.0,u,g,w,v,25.0,f,t,1.0,t,g,240.0,4.0,negative
b,2408.0,9.0,u,g,aa,v,25.0,f,f,0.0,t,g,0.0,0.0,negative
b,3275.0,2335.0,u,g,d,h,575.0,f,f,0.0,t,g,292.0,0.0,negative
a,245.0,104.0,y,p,ff,ff,5.0,t,t,3.0,f,g,180.0,147.0,negative
b,3667.0,2.0,u,g,i,v,25.0,f,f,0.0,t,g,221.0,0.0,negative
a,3175.0,3.0,y,p,j,j,0.0,f,f,0.0,f,g,160.0,20.0,negative
b,2942.0,125.0,u,g,c,h,25.0,f,t,2.0,t,g,400.0,108.0,negative
b,3125.0,2835.0,u,g,ff,ff,0.0,f,t,5.0,f,g,176.0,146.0,negative
b,235.0,3165.0,y,p,k,v,415.0,f,t,1.0,t,g,280.0,80.0,negative
b,5483.0,155.0,u,g,e,z,0.0,t,t,20.0,f,g,152.0,130.0,negative
a,16.0,165.0,u,g,aa,v,1.0,f,t,2.0,t,g,320.0,1.0,negative
b,2067.0,415.0,u,g,c,v,125.0,f,f,0.0,f,g,0.0,44.0,negative
b,2983.0,125.0,y,p,k,v,25.0,f,f,0.0,f,g,224.0,0.0,negative
b,2375.0,415.0,y,p,c,v,4.0,f,t,2.0,f,g,128.0,6.0,negative
