@RELATION myRel

@ATTRIBUTE A1 {b, a}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {u, y, l}
@ATTRIBUTE A5 {g, p, gg}
@ATTRIBUTE A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@ATTRIBUTE A7 {v, h, bb, ff, j, z, o, dd, n}
@ATTRIBUTE A8 NUMERIC
@ATTRIBUTE A9 {t, f}
@ATTRIBUTE A10 {t, f}
@ATTRIBUTE A11 NUMERIC
@ATTRIBUTE A12 {f, t}
@ATTRIBUTE A13 {g, s, p}
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE A15 NUMERIC
@ATTRIBUTE Class {positive, negative}

@DATA
b,1942.0,15.0,y,p,cc,v,2.0,t,f,0.0,t,g,100.0,20.0,negative
a,2433.0,25.0,y,p,i,bb,45.0,f,f,0.0,f,g,200.0,456.0,negative
a,1917.0,5415.0,u,g,i,h,29.0,f,f,0.0,f,g,80.0,484.0,negative
b,3425.0,175.0,u,g,w,bb,25.0,t,f,0.0,t,g,163.0,0.0,negative
b,4158.0,175.0,u,g,k,v,21.0,t,f,0.0,f,g,160.0,0.0,negative
b,28.0,3.0,u,g,w,v,75.0,f,f,0.0,t,g,300.0,67.0,negative
a,2767.0,204.0,u,g,w,v,25.0,f,f,0.0,t,g,180.0,50.0,negative
a,2525.0,135.0,y,p,ff,ff,2.0,f,t,1.0,t,g,200.0,1.0,negative
a,2758.0,3.0,u,g,m,v,279.0,f,t,1.0,t,g,280.0,10.0,negative
a,3658.0,29.0,u,g,ff,ff,0.0,f,t,10.0,f,g,200.0,18.0,negative
b,3242.0,2165.0,y,p,k,ff,0.0,f,f,0.0,f,g,120.0,0.0,negative
a,225.0,415.0,u,g,i,v,335.0,f,f,0.0,t,s,144.0,0.0,negative
b,3367.0,2165.0,u,g,c,v,15.0,f,f,0.0,f,p,120.0,0.0,negative
a,2358.0,585.0,y,p,ff,ff,125.0,f,f,0.0,f,g,120.0,87.0,negative
b,4317.0,225.0,u,g,i,bb,75.0,t,f,0.0,f,g,560.0,0.0,negative
a,2858.0,375.0,u,g,c,v,25.0,f,t,1.0,t,g,40.0,154.0,negative
a,45.0,4585.0,u,g,k,h,1.0,f,f,0.0,t,s,240.0,0.0,negative
a,25.0,11.0,y,p,aa,v,45.0,t,f,0.0,f,g,120.0,0.0,negative
a,5025.0,835.0,u,g,aa,v,5.0,f,f,0.0,t,g,240.0,117.0,negative
b,3158.0,75.0,y,p,aa,v,35.0,f,f,0.0,t,g,320.0,0.0,negative
b,33.0,25.0,y,p,w,v,7.0,f,f,0.0,t,g,280.0,0.0,negative
a,3833.0,4415.0,u,g,c,v,125.0,f,f,0.0,f,g,160.0,0.0,negative
a,2175.0,175.0,y,p,j,j,0.0,f,f,0.0,f,g,160.0,0.0,negative
a,5192.0,65.0,u,g,i,bb,3085.0,f,f,0.0,t,g,73.0,0.0,negative
b,2067.0,125.0,y,p,c,h,1375.0,t,t,3.0,t,g,140.0,210.0,negative
b,2633.0,13.0,u,g,e,dd,0.0,f,f,0.0,t,g,140.0,1110.0,negative
a,49.0,15.0,u,g,j,j,0.0,t,f,0.0,t,g,100.0,27.0,negative
a,1792.0,1021.0,u,g,ff,ff,0.0,f,f,0.0,f,g,0.0,50.0,negative
b,2267.0,75.0,u,g,i,v,1585.0,f,t,1.0,t,g,400.0,9.0,negative
b,3233.0,75.0,u,g,e,bb,1585.0,t,f,0.0,t,s,420.0,0.0,negative
b,2925.0,13.0,u,g,d,h,5.0,f,f,0.0,f,g,228.0,0.0,negative
b,1917.0,4.0,y,p,i,v,1.0,f,f,0.0,t,g,360.0,1000.0,negative
b,2208.0,1146.0,u,g,k,v,1585.0,f,f,0.0,t,g,100.0,1212.0,negative
b,1633.0,275.0,u,g,aa,v,665.0,f,t,1.0,f,g,80.0,21.0,negative
b,20.0,125.0,y,p,k,v,125.0,f,f,0.0,f,g,140.0,4.0,negative
b,3917.0,25.0,y,p,i,h,10.0,f,f,0.0,t,s,200.0,0.0,negative
a,295.0,1085.0,y,p,x,v,1.0,f,f,0.0,f,g,280.0,13.0,negative
b,1883.0,0.0,u,g,q,v,665.0,f,f,0.0,f,g,160.0,1.0,negative
b,5858.0,271.0,u,g,c,v,2415.0,f,f,0.0,t,g,320.0,0.0,negative
a,3392.0,1585.0,y,p,ff,ff,0.0,t,f,0.0,f,g,320.0,0.0,negative
b,2458.0,125.0,u,g,c,v,25.0,f,f,0.0,f,g,110.0,0.0,negative
b,2167.0,1165.0,y,p,k,v,25.0,t,t,1.0,f,g,180.0,20.0,negative
b,3058.0,271.0,y,p,m,v,125.0,f,f,0.0,t,s,80.0,0.0,negative
b,4325.0,2521.0,u,g,q,h,21.0,t,t,1.0,f,g,760.0,90.0,negative
a,1583.0,7625.0,u,g,q,v,125.0,f,t,1.0,t,g,0.0,160.0,negative
b,2742.0,125.0,u,g,aa,bb,25.0,f,f,0.0,t,g,720.0,0.0,negative
b,3733.0,2665.0,u,g,cc,v,165.0,f,f,0.0,t,g,0.0,501.0,negative
b,34.0,45.0,u,g,aa,v,1.0,t,f,0.0,t,g,240.0,0.0,negative
a,2725.0,29.0,u,g,m,h,125.0,f,t,1.0,t,g,272.0,108.0,negative
b,3892.0,175.0,u,g,k,v,5.0,f,f,0.0,t,g,300.0,2.0,negative
b,3608.0,254.0,u,g,ff,ff,0.0,f,f,0.0,f,g,0.0,1000.0,negative
a,195.0,165.0,u,g,q,v,4.0,f,f,0.0,t,g,380.0,0.0,negative
b,2683.0,54.0,u,g,k,ff,0.0,f,f,0.0,f,g,100.0,0.0,negative
b,2225.0,46.0,u,g,k,v,125.0,f,f,0.0,t,g,280.0,55.0,negative
a,5217.0,0.0,y,p,ff,ff,0.0,f,f,0.0,f,g,0.0,0.0,negative
b,2567.0,29.0,y,p,c,v,15.0,f,f,0.0,t,g,160.0,0.0,negative
b,4425.0,5.0,u,g,m,v,1075.0,t,f,0.0,f,s,400.0,0.0,negative
b,3475.0,25.0,u,g,cc,bb,5.0,f,f,0.0,f,g,348.0,0.0,negative
a,1975.0,75.0,u,g,c,v,795.0,t,t,5.0,t,g,140.0,5.0,negative
b,25.0,12.0,u,g,k,v,225.0,t,t,2.0,t,g,120.0,5.0,negative
a,2292.0,125.0,u,g,q,v,25.0,f,f,0.0,t,g,120.0,809.0,negative
a,4817.0,1335.0,u,g,i,o,335.0,f,f,0.0,f,g,0.0,120.0,negative
b,2108.0,4125.0,y,p,i,h,4.0,f,f,0.0,f,g,140.0,100.0,negative
b,2675.0,2.0,u,g,d,v,75.0,f,f,0.0,t,g,80.0,0.0,negative
b,4517.0,15.0,u,g,c,v,25.0,t,f,0.0,t,g,140.0,0.0,negative
a,225.0,11.0,y,p,q,v,3.0,t,f,0.0,t,g,268.0,0.0,negative
