@RELATION myRel

@ATTRIBUTE A1 {0, 1}
@ATTRIBUTE A2 NUMERIC
@ATTRIBUTE A3 NUMERIC
@ATTRIBUTE A4 {1, 2, 3}
@ATTRIBUTE A5 NUMERIC
@ATTRIBUTE A6 NUMERIC
@ATTRIBUTE A7 NUMERIC
@ATTRIBUTE A8 {0, 1}
@ATTRIBUTE A9 {0, 1}
@ATTRIBUTE A10 NUMERIC
@ATTRIBUTE A11 {0, 1}
@ATTRIBUTE A12 {1, 2, 3}
@ATTRIBUTE A13 NUMERIC
@ATTRIBUTE A14 NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1,225.0,125.0,1,4.0,4.0,125.0,0,0,0.0,0,2,200.0,71.0,0
1,2308.0,0.0,2,4.0,4.0,1.0,0,1,11.0,0,1,0.0,1.0,0
1,3157.0,4.0,1,3.0,4.0,85.0,0,0,0.0,1,2,411.0,1.0,0
1,2042.0,1085.0,2,11.0,4.0,15.0,0,0,0.0,0,2,108.0,8.0,0
1,2358.0,46.0,1,9.0,4.0,2625.0,1,1,6.0,1,2,208.0,348.0,0
1,23.0,75.0,2,7.0,4.0,5.0,1,0,0.0,1,1,320.0,1.0,0
1,1792.0,205.0,2,6.0,4.0,4.0,0,0,0.0,0,2,280.0,751.0,0
1,3917.0,25.0,1,3.0,8.0,10.0,0,0,0.0,1,1,200.0,1.0,0
1,3125.0,1125.0,2,1.0,1.0,0.0,0,1,1.0,0,2,96.0,20.0,0
1,34.0,5085.0,1,3.0,5.0,1085.0,0,0,0.0,1,2,480.0,1.0,0
0,3833.0,4415.0,2,8.0,4.0,125.0,0,0,0.0,0,2,160.0,1.0,0
1,2292.0,17.0,2,7.0,4.0,85.0,0,0,0.0,0,1,0.0,1.0,0
0,3157.0,15.0,2,1.0,1.0,0.0,0,1,2.0,1,2,200.0,106.0,0
1,3458.0,0.0,2,8.0,4.0,0.0,0,0,0.0,0,3,184.0,1.0,0
0,2858.0,1665.0,2,11.0,4.0,2415.0,1,0,0.0,1,2,440.0,1.0,0
1,2858.0,3625.0,2,6.0,4.0,25.0,0,0,0.0,1,2,100.0,1.0,0
1,1917.0,4.0,1,3.0,4.0,1.0,0,0,0.0,1,2,360.0,1001.0,0
1,2875.0,1165.0,2,4.0,4.0,5.0,1,0,0.0,0,1,280.0,1.0,0
1,8025.0,55.0,2,8.0,4.0,54.0,1,0,0.0,0,2,0.0,341.0,0
1,2625.0,154.0,2,9.0,4.0,125.0,0,0,0.0,0,2,100.0,1.0,0
